source_dataset,source_split,sample_id,label_source,text,audio_path,image_path,depression,anxiety,stress,sleep_disorder,burnout,loneliness,substance_abuse
MELD,test,meld-test-dia227-utt1,meld_emotion_sentiment_keyword_proxy,"Monica, number one, I don’t think Ben understands the concept of bribery, and number two, I...   What?!",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia592-utt10,meld_emotion_sentiment_keyword_proxy,He obviously lost his mind.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia947-utt1,meld_emotion_sentiment_keyword_proxy,Still?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
RAVDESS,full,ravdess-03-01-06-01-02-01-01,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 01 actor 01,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_01\03-01-06-01-02-01-01.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,train,meld-train-dia356-utt17,meld_emotion_sentiment_keyword_proxy,"I needed a plan, a plan to get over my man.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-08-02-01-02-04,ravdess_emotion_intensity_proxy,RAVDESS surprised speech clip statement 01 repetition 02 actor 04,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_04\03-01-08-02-01-02-04.wav,,0.12,0.49,0.43,0.26,0.17,0.08,0.31
MELD,train,meld-train-dia93-utt6,meld_emotion_sentiment_keyword_proxy,Ow!! Ow!!!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia1025-utt1,meld_emotion_sentiment_keyword_proxy,"Alright, and if you’re gonna put your feet up, why don’t you sit on the-",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
RAVDESS,full,ravdess-03-01-04-02-02-01-16,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 02 repetition 01 actor 16,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_16\03-01-04-02-02-01-16.wav,,0.8,0.33,0.39,0.64,0.39,0.7,0.34
MELD,train,meld-train-dia886-utt15,meld_emotion_sentiment_keyword_proxy,Pregnant Woman Slays Four?,,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia950-utt3,meld_emotion_sentiment_keyword_proxy,"But, it's only the second day and I'm a loser with stupid leather pants that don't even fit!",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia456-utt5,meld_emotion_sentiment_keyword_proxy,They put you in jail?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia508-utt18,meld_emotion_sentiment_keyword_proxy,Okay.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
